x-axis,1,2
second,Volt,Volt
+6.4200E+00,+4.9839E+00,+5.0981E+00
+6.4300E+00,+5.0442E+00,+5.0780E+00
+6.4400E+00,+4.9437E+00,+5.0177E+00
+6.4500E+00,+4.9437E+00,+5.0780E+00
+6.4600E+00,+5.1045E+00,+5.0579E+00
+6.4700E+00,+4.9437E+00,+5.0177E+00
+6.4800E+00,+5.0241E+00,+5.0177E+00
+6.4900E+00,+5.0241E+00,+4.9574E+00
+6.5000E+00,+4.9839E+00,+4.8971E+00
+6.5100E+00,+5.0241E+00,+4.8368E+00
+6.5200E+00,+4.9437E+00,+4.9373E+00
+6.5300E+00,+5.0844E+00,+4.8569E+00
+6.5400E+00,+5.0241E+00,+4.8167E+00
+6.5500E+00,+5.0241E+00,+4.7966E+00
+6.5600E+00,+5.0241E+00,+4.7765E+00
+6.5700E+00,+4.9638E+00,+4.7162E+00
+6.5800E+00,+5.0643E+00,+4.7363E+00
+6.5900E+00,+5.1045E+00,+4.6961E+00
+6.6000E+00,+5.1849E+00,+4.6961E+00
+6.6100E+00,+4.9638E+00,+4.6961E+00
+6.6200E+00,+5.0241E+00,+4.6961E+00
+6.6300E+00,+5.0844E+00,+4.6157E+00
+6.6400E+00,+5.0241E+00,+4.6157E+00
+6.6500E+00,+5.0844E+00,+4.6760E+00
+6.6600E+00,+5.0643E+00,+4.6559E+00
+6.6700E+00,+5.0040E+00,+4.6961E+00
+6.6800E+00,+5.0241E+00,+4.6961E+00
+6.6900E+00,+5.0040E+00,+4.6358E+00
+6.7000E+00,+5.0241E+00,+4.6961E+00
+6.7100E+00,+5.0241E+00,+4.6559E+00
+6.7200E+00,+4.9437E+00,+4.6961E+00
+6.7300E+00,+5.0241E+00,+4.6358E+00
+6.7400E+00,+5.0643E+00,+4.5755E+00
+6.7500E+00,+5.0241E+00,+4.7564E+00
+6.7600E+00,+4.9437E+00,+4.6961E+00
+6.7700E+00,+4.9638E+00,+4.7162E+00
+6.7800E+00,+5.0241E+00,+4.6559E+00
+6.7900E+00,+5.0442E+00,+4.7162E+00
+6.8000E+00,+5.1045E+00,+4.6961E+00
+6.8100E+00,+5.0844E+00,+4.7162E+00
+6.8200E+00,+5.0241E+00,+4.7765E+00
+6.8300E+00,+5.0040E+00,+4.6961E+00
+6.8400E+00,+5.0241E+00,+4.7765E+00
+6.8500E+00,+4.9437E+00,+4.7765E+00
+6.8600E+00,+5.0643E+00,+4.8569E+00
+6.8700E+00,+5.0241E+00,+4.7765E+00
+6.8800E+00,+5.0241E+00,+4.8569E+00
+6.8900E+00,+5.0040E+00,+4.9172E+00
+6.9000E+00,+5.0643E+00,+4.8971E+00
+6.9100E+00,+5.0844E+00,+4.9172E+00
+6.9200E+00,+5.0241E+00,+4.9373E+00
+6.9300E+00,+5.0241E+00,+4.9373E+00
+6.9400E+00,+5.0643E+00,+4.8971E+00
+6.9500E+00,+5.0241E+00,+4.9574E+00
+6.9600E+00,+5.0241E+00,+5.0177E+00
+6.9700E+00,+5.0040E+00,+4.9976E+00
+6.9800E+00,+5.0241E+00,+5.0177E+00
+6.9900E+00,+5.0241E+00,+4.9574E+00
+7.0000E+00,+5.0241E+00,+5.0981E+00
+7.0100E+00,+5.0844E+00,+5.0177E+00
+7.0200E+00,+4.9839E+00,+5.0981E+00
+7.0300E+00,+5.0241E+00,+5.0378E+00
+7.0400E+00,+5.1045E+00,+5.0177E+00
+7.0500E+00,+4.9638E+00,+5.0780E+00
+7.0600E+00,+5.0643E+00,+5.1383E+00
+7.0700E+00,+5.0442E+00,+5.0177E+00
+7.0800E+00,+5.0241E+00,+5.0177E+00
+7.0900E+00,+5.0241E+00,+5.1584E+00
+7.1000E+00,+5.0241E+00,+5.0177E+00
+7.1100E+00,+5.0844E+00,+5.0579E+00
+7.1200E+00,+5.0241E+00,+5.0981E+00
+7.1300E+00,+5.0241E+00,+5.0378E+00
+7.1400E+00,+5.0241E+00,+5.0177E+00
+7.1500E+00,+5.0442E+00,+5.0981E+00
+7.1600E+00,+5.0241E+00,+5.0177E+00
+7.1700E+00,+4.9638E+00,+5.0981E+00
+7.1800E+00,+5.0643E+00,+5.0981E+00
+7.1900E+00,+5.0241E+00,+5.0981E+00
+7.2000E+00,+5.1045E+00,+5.0177E+00
+7.2100E+00,+5.0844E+00,+5.0981E+00
+7.2200E+00,+5.0643E+00,+5.0579E+00
+7.2300E+00,+4.9638E+00,+4.9775E+00
+7.2400E+00,+5.0241E+00,+5.1785E+00
+7.2500E+00,+5.0442E+00,+4.9976E+00
+7.2600E+00,+5.1045E+00,+5.0579E+00
+7.2700E+00,+5.0241E+00,+4.9976E+00
+7.2800E+00,+5.1045E+00,+5.0981E+00
+7.2900E+00,+5.1045E+00,+4.9373E+00
+7.3000E+00,+4.9839E+00,+5.0579E+00
+7.3100E+00,+5.1447E+00,+5.0177E+00
+7.3200E+00,+4.9437E+00,+5.0177E+00
+7.3300E+00,+4.9638E+00,+4.9976E+00
+7.3400E+00,+4.9839E+00,+4.9775E+00
+7.3500E+00,+5.1045E+00,+4.8770E+00
+7.3600E+00,+4.9437E+00,+4.9373E+00
+7.3700E+00,+5.0442E+00,+4.9775E+00
+7.3800E+00,+5.0241E+00,+4.8971E+00
+7.3900E+00,+4.9638E+00,+4.8770E+00
+7.4000E+00,+4.9437E+00,+4.9373E+00
+7.4100E+00,+5.1045E+00,+4.9172E+00
+7.4200E+00,+4.9839E+00,+4.8569E+00
+7.4300E+00,+5.0844E+00,+4.8569E+00
+7.4400E+00,+5.1045E+00,+4.8569E+00
+7.4500E+00,+5.0241E+00,+4.9172E+00
+7.4600E+00,+5.0241E+00,+4.7765E+00
+7.4700E+00,+5.0241E+00,+4.8368E+00
+7.4800E+00,+5.0241E+00,+4.8569E+00
+7.4900E+00,+5.1045E+00,+4.8368E+00
+7.5000E+00,+5.0241E+00,+4.8167E+00
+7.5100E+00,+5.0040E+00,+4.7966E+00
+7.5200E+00,+5.0241E+00,+4.7765E+00
+7.5300E+00,+4.9236E+00,+4.7966E+00
+7.5400E+00,+5.0241E+00,+4.8167E+00
+7.5500E+00,+4.9437E+00,+4.8368E+00
+7.5600E+00,+5.0241E+00,+4.8569E+00
+7.5700E+00,+4.9638E+00,+4.8971E+00
+7.5800E+00,+5.0643E+00,+4.7765E+00
+7.5900E+00,+4.9839E+00,+4.7765E+00
+7.6000E+00,+4.9437E+00,+4.8569E+00
+7.6100E+00,+4.9437E+00,+4.6961E+00
+7.6200E+00,+5.0241E+00,+4.8569E+00
+7.6300E+00,+5.0442E+00,+4.7765E+00
+7.6400E+00,+5.0241E+00,+4.7765E+00
+7.6500E+00,+5.0241E+00,+4.8368E+00
+7.6600E+00,+5.0241E+00,+4.8167E+00
+7.6700E+00,+5.0241E+00,+4.8569E+00
+7.6800E+00,+5.0241E+00,+4.7765E+00
+7.6900E+00,+5.0844E+00,+4.8770E+00
+7.7000E+00,+5.0643E+00,+4.8971E+00
+7.7100E+00,+4.9839E+00,+4.8368E+00
+7.7200E+00,+5.1045E+00,+4.8569E+00
+7.7300E+00,+4.9839E+00,+4.8368E+00
+7.7400E+00,+4.9839E+00,+4.8569E+00
+7.7500E+00,+5.0241E+00,+4.9373E+00
+7.7600E+00,+5.0241E+00,+4.7765E+00
+7.7700E+00,+5.0241E+00,+4.9172E+00
+7.7800E+00,+5.0241E+00,+4.8971E+00
+7.7900E+00,+5.1045E+00,+4.9775E+00
+7.8000E+00,+5.0241E+00,+5.0177E+00
+7.8100E+00,+5.0844E+00,+4.9574E+00
+7.8200E+00,+5.0643E+00,+4.8569E+00
+7.8300E+00,+5.0442E+00,+4.9373E+00
+7.8400E+00,+5.0241E+00,+4.9373E+00
+7.8500E+00,+5.0442E+00,+4.9373E+00
+7.8600E+00,+4.9839E+00,+4.9373E+00
+7.8700E+00,+5.0241E+00,+4.9172E+00
+7.8800E+00,+5.0241E+00,+4.9373E+00
+7.8900E+00,+5.0442E+00,+4.9574E+00
+7.9000E+00,+5.0643E+00,+4.9775E+00
+7.9100E+00,+5.1447E+00,+4.9373E+00
+7.9200E+00,+4.9437E+00,+4.9373E+00
+7.9300E+00,+5.0040E+00,+5.0177E+00
+7.9400E+00,+5.0643E+00,+4.9775E+00
+7.9500E+00,+4.9839E+00,+4.8770E+00
+7.9600E+00,+5.0241E+00,+5.0177E+00
+7.9700E+00,+5.0040E+00,+5.0579E+00
+7.9800E+00,+5.0241E+00,+4.9775E+00
+7.9900E+00,+4.9638E+00,+5.0177E+00
+8.0000E+00,+5.0241E+00,+5.0177E+00
+8.0100E+00,+5.0241E+00,+4.8971E+00
+8.0200E+00,+5.0241E+00,+5.0177E+00
+8.0300E+00,+4.9638E+00,+5.0177E+00
+8.0400E+00,+5.0241E+00,+4.9373E+00
+8.0500E+00,+4.9638E+00,+4.9373E+00
+8.0600E+00,+4.9839E+00,+4.9373E+00
+8.0700E+00,+5.0241E+00,+4.9373E+00
+8.0800E+00,+5.0241E+00,+5.0177E+00
+8.0900E+00,+5.0844E+00,+5.0780E+00
+8.1000E+00,+4.9839E+00,+5.0177E+00
+8.1100E+00,+5.0241E+00,+4.9574E+00
+8.1200E+00,+5.0241E+00,+5.0177E+00
+8.1300E+00,+5.0241E+00,+4.9373E+00
+8.1400E+00,+5.0241E+00,+4.9373E+00
+8.1500E+00,+5.0040E+00,+4.9976E+00
+8.1600E+00,+5.1045E+00,+5.0177E+00
+8.1700E+00,+4.9437E+00,+5.0177E+00
+8.1800E+00,+4.9839E+00,+5.0177E+00
+8.1900E+00,+4.9437E+00,+4.9775E+00
+8.2000E+00,+4.9437E+00,+5.0177E+00
+8.2100E+00,+4.9839E+00,+4.8971E+00
+8.2200E+00,+5.1045E+00,+4.8569E+00
+8.2300E+00,+5.0241E+00,+4.9373E+00
+8.2400E+00,+4.9437E+00,+5.0177E+00
+8.2500E+00,+5.0241E+00,+4.9373E+00
+8.2600E+00,+5.1045E+00,+4.8569E+00
+8.2700E+00,+5.0241E+00,+4.8971E+00
+8.2800E+00,+5.0241E+00,+4.9373E+00
+8.2900E+00,+4.9638E+00,+4.7765E+00
+8.3000E+00,+5.0643E+00,+5.0177E+00
+8.3100E+00,+5.0643E+00,+4.9373E+00
+8.3200E+00,+5.1045E+00,+4.7765E+00
+8.3300E+00,+5.0442E+00,+4.8770E+00
+8.3400E+00,+4.9437E+00,+4.8971E+00
+8.3500E+00,+4.9839E+00,+4.8569E+00
+8.3600E+00,+5.0241E+00,+4.9373E+00
+8.3700E+00,+5.0442E+00,+4.9574E+00
+8.3800E+00,+5.0643E+00,+4.8971E+00
+8.3900E+00,+5.0241E+00,+4.9373E+00
+8.4000E+00,+5.0241E+00,+4.8569E+00
+8.4100E+00,+4.9638E+00,+4.8971E+00
+8.4200E+00,+4.9839E+00,+4.9373E+00
+8.4300E+00,+5.0040E+00,+4.8770E+00
+8.4400E+00,+5.0241E+00,+4.8569E+00
+8.4500E+00,+4.9839E+00,+4.8770E+00
+8.4600E+00,+4.9839E+00,+4.8569E+00
+8.4700E+00,+4.9638E+00,+4.9172E+00
+8.4800E+00,+5.0241E+00,+4.7765E+00
+8.4900E+00,+5.0442E+00,+4.9172E+00
+8.5000E+00,+5.0241E+00,+4.9373E+00
+8.5100E+00,+4.9839E+00,+4.9172E+00
+8.5200E+00,+5.0241E+00,+4.9373E+00
+8.5300E+00,+5.0241E+00,+4.8569E+00
+8.5400E+00,+5.0241E+00,+4.8971E+00
+8.5500E+00,+5.0442E+00,+4.9172E+00
+8.5600E+00,+4.9437E+00,+4.8569E+00
+8.5700E+00,+5.0643E+00,+4.9172E+00
+8.5800E+00,+5.0241E+00,+4.8569E+00
+8.5900E+00,+5.0844E+00,+4.8770E+00
+8.6000E+00,+4.9437E+00,+4.9373E+00
+8.6100E+00,+5.0241E+00,+4.8569E+00
+8.6200E+00,+5.0241E+00,+4.9373E+00
+8.6300E+00,+5.0241E+00,+4.8569E+00
+8.6400E+00,+5.0241E+00,+4.9373E+00
+8.6500E+00,+4.9638E+00,+4.9373E+00
+8.6600E+00,+5.0241E+00,+4.8971E+00
+8.6700E+00,+4.9437E+00,+4.9172E+00
+8.6800E+00,+5.0241E+00,+4.9373E+00
+8.6900E+00,+5.0241E+00,+4.9172E+00
+8.7000E+00,+5.0241E+00,+4.8971E+00
+8.7100E+00,+5.0040E+00,+4.9373E+00
+8.7200E+00,+5.1045E+00,+4.9373E+00
+8.7300E+00,+5.0241E+00,+4.9373E+00
+8.7400E+00,+5.0241E+00,+4.9373E+00
+8.7500E+00,+5.0241E+00,+4.8971E+00
+8.7600E+00,+5.0241E+00,+4.9373E+00
+8.7700E+00,+5.0241E+00,+4.9373E+00
+8.7800E+00,+5.0241E+00,+4.8971E+00
+8.7900E+00,+5.0241E+00,+4.9775E+00
+8.8000E+00,+5.0241E+00,+5.0177E+00
+8.8100E+00,+5.0844E+00,+4.8770E+00
+8.8200E+00,+5.1447E+00,+4.9775E+00
+8.8300E+00,+4.9839E+00,+4.9172E+00
+8.8400E+00,+5.1045E+00,+5.0177E+00
+8.8500E+00,+5.0844E+00,+4.9373E+00
+8.8600E+00,+5.0643E+00,+4.8569E+00
+8.8700E+00,+5.0241E+00,+4.8569E+00
+8.8800E+00,+5.1045E+00,+4.9373E+00
+8.8900E+00,+4.9638E+00,+4.9172E+00
+8.9000E+00,+5.0241E+00,+4.8971E+00
+8.9100E+00,+5.0241E+00,+4.9373E+00
+8.9200E+00,+5.1045E+00,+4.9373E+00
+8.9300E+00,+5.0241E+00,+4.9373E+00
+8.9400E+00,+4.9839E+00,+4.8569E+00
+8.9500E+00,+5.0040E+00,+4.9574E+00
+8.9600E+00,+5.0241E+00,+4.8569E+00
+8.9700E+00,+4.9437E+00,+4.8770E+00
+8.9800E+00,+5.1045E+00,+4.8971E+00
+8.9900E+00,+5.0442E+00,+4.9373E+00
+9.0000E+00,+5.0241E+00,+4.8569E+00
+9.0100E+00,+5.0241E+00,+4.9373E+00
+9.0200E+00,+4.9839E+00,+4.9373E+00
+9.0300E+00,+5.0241E+00,+4.8971E+00
+9.0400E+00,+5.0241E+00,+4.8569E+00
+9.0500E+00,+5.0241E+00,+4.9373E+00
+9.0600E+00,+5.0241E+00,+4.9775E+00
+9.0700E+00,+5.0241E+00,+4.9976E+00
+9.0800E+00,+5.0241E+00,+4.9373E+00
+9.0900E+00,+4.9839E+00,+4.9574E+00
+9.1000E+00,+5.0643E+00,+4.8971E+00
+9.1100E+00,+5.0241E+00,+4.9775E+00
+9.1200E+00,+5.0241E+00,+4.8569E+00
+9.1300E+00,+5.0241E+00,+4.9373E+00
+9.1400E+00,+5.0241E+00,+4.9775E+00
+9.1500E+00,+5.0040E+00,+4.9172E+00
+9.1600E+00,+5.1045E+00,+5.0177E+00
+9.1700E+00,+5.0442E+00,+4.9172E+00
+9.1800E+00,+5.0643E+00,+4.8971E+00
+9.1900E+00,+5.0844E+00,+5.0177E+00
+9.2000E+00,+4.9437E+00,+4.8569E+00
+9.2100E+00,+5.0241E+00,+4.9172E+00
+9.2200E+00,+5.0643E+00,+4.9373E+00
+9.2300E+00,+5.0241E+00,+4.8770E+00
+9.2400E+00,+5.1045E+00,+4.9373E+00
+9.2500E+00,+4.9638E+00,+4.8770E+00
+9.2600E+00,+5.1045E+00,+4.9373E+00
+9.2700E+00,+5.0844E+00,+4.8770E+00
+9.2800E+00,+5.0241E+00,+4.8569E+00
+9.2900E+00,+4.9437E+00,+4.9172E+00
+9.3000E+00,+5.0241E+00,+4.8971E+00
+9.3100E+00,+4.9839E+00,+4.9373E+00
+9.3200E+00,+4.9437E+00,+4.9373E+00
+9.3300E+00,+5.0241E+00,+4.9373E+00
+9.3400E+00,+5.0643E+00,+4.8971E+00
+9.3500E+00,+5.0040E+00,+4.9775E+00
+9.3600E+00,+4.9437E+00,+4.9373E+00
+9.3700E+00,+5.1045E+00,+4.9574E+00
+9.3800E+00,+4.9839E+00,+4.9373E+00
+9.3900E+00,+5.0040E+00,+4.8971E+00
+9.4000E+00,+5.0241E+00,+4.9373E+00
+9.4100E+00,+5.0442E+00,+4.9373E+00
+9.4200E+00,+4.9437E+00,+4.9775E+00
+9.4300E+00,+5.0442E+00,+4.8770E+00
+9.4400E+00,+5.0241E+00,+4.9373E+00
+9.4500E+00,+4.9638E+00,+4.8770E+00
+9.4600E+00,+4.9839E+00,+4.9373E+00
+9.4700E+00,+4.9638E+00,+4.9373E+00
+9.4800E+00,+5.0241E+00,+4.9373E+00
+9.4900E+00,+5.0844E+00,+4.9172E+00
+9.5000E+00,+5.0643E+00,+4.8569E+00
+9.5100E+00,+5.0241E+00,+4.8569E+00
+9.5200E+00,+5.0241E+00,+4.9373E+00
+9.5300E+00,+4.9839E+00,+4.9172E+00
+9.5400E+00,+5.0241E+00,+4.8971E+00
+9.5500E+00,+5.0241E+00,+4.8770E+00
+9.5600E+00,+5.0241E+00,+5.0177E+00
+9.5700E+00,+5.0643E+00,+4.9976E+00
+9.5800E+00,+5.0241E+00,+4.8971E+00
+9.5900E+00,+5.0040E+00,+4.8569E+00
+9.6000E+00,+5.0241E+00,+4.9373E+00
+9.6100E+00,+5.0241E+00,+4.9976E+00
+9.6200E+00,+5.0643E+00,+4.8971E+00
+9.6300E+00,+5.0241E+00,+4.9574E+00
+9.6400E+00,+5.0241E+00,+4.8569E+00
+9.6500E+00,+5.0040E+00,+4.8770E+00
+9.6600E+00,+4.9839E+00,+4.9775E+00
+9.6700E+00,+4.9638E+00,+4.9373E+00
+9.6800E+00,+5.0241E+00,+4.9373E+00
+9.6900E+00,+5.0643E+00,+4.9373E+00
+9.7000E+00,+5.0643E+00,+4.9373E+00
+9.7100E+00,+5.0241E+00,+4.9172E+00
+9.7200E+00,+5.1045E+00,+4.9373E+00
+9.7300E+00,+5.0241E+00,+4.9373E+00
+9.7400E+00,+5.0241E+00,+4.8569E+00
+9.7500E+00,+5.0241E+00,+4.9373E+00
+9.7600E+00,+5.0241E+00,+4.9373E+00
+9.7700E+00,+5.0844E+00,+4.8770E+00
+9.7800E+00,+5.0241E+00,+4.8569E+00
+9.7900E+00,+5.0241E+00,+4.8971E+00
+9.8000E+00,+5.0241E+00,+4.8569E+00
+9.8100E+00,+4.9839E+00,+4.9373E+00
+9.8200E+00,+5.0643E+00,+4.9373E+00
+9.8300E+00,+4.9437E+00,+4.9373E+00
+9.8400E+00,+5.0241E+00,+4.8569E+00
+9.8500E+00,+5.0442E+00,+4.8167E+00
+9.8600E+00,+5.0643E+00,+4.8971E+00
+9.8700E+00,+5.0040E+00,+4.9574E+00
+9.8800E+00,+5.0241E+00,+4.8569E+00
+9.8900E+00,+5.0241E+00,+4.8770E+00
+9.9000E+00,+5.0241E+00,+4.9373E+00
+9.9100E+00,+5.0844E+00,+5.0579E+00
+9.9200E+00,+4.9437E+00,+4.9373E+00
+9.9300E+00,+5.0241E+00,+4.9172E+00
+9.9400E+00,+5.0241E+00,+4.9775E+00
+9.9500E+00,+5.0040E+00,+4.9373E+00
+9.9600E+00,+5.0241E+00,+4.9373E+00
+9.9700E+00,+5.0241E+00,+4.8770E+00
+9.9800E+00,+5.0241E+00,+4.8971E+00
+9.9900E+00,+5.0241E+00,+4.9976E+00
